#SUBMITTED ID	FBID_KEY	NAME	SYMBOL
FBgn0026615	FBgn0026615	10-4	10-4
FBgn0070057	FBgn0070057	11	11
FBgn0010339	FBgn0010339	upstream of RpIII128	128up
FBgn0020238	FBgn0020238	14-3-3epsilon	14-3-3epsilon
FBgn0004907	FBgn0004907	14-3-3zeta	14-3-3zeta
FBgn0266130	FBgn0266130	-	144Y
FBgn0266131	FBgn0266131	-	161Y
FBgn0085802	FBgn0085802	18S ribosomal RNA:CR41548	18SrRNA:CR41548
FBgn0267498	FBgn0267498	18S ribosomal RNA:CR45838	18SrRNA:CR45838
FBgn0267501	FBgn0267501	18S ribosomal RNA:CR45841	18SrRNA:CR45841
FBgn0287775	FBgn0287775	18 wheeler	18w
FBgn0070056	FBgn0070056	19	19
FBgn0069070	FBgn0069070	194-26	194-26
FBgn0015579	FBgn0015579	2.1	2.1
FBgn0069069	FBgn0069069	20-51	20-51
FBgn0043850	FBgn0043850	2033	2033
FBgn0066318	FBgn0066318	26D19	26D19
FBgn0069068	FBgn0069068	27-25	27-25
FBgn0267497	FBgn0267497	28S ribosomal RNA:CR45837	28SrRNA:CR45837
FBgn0267504	FBgn0267504	28S ribosomal RNA:CR45844	28SrRNA:CR45844
FBgn0066317	FBgn0066317	29B70	29B70
FBgn0067331	FBgn0067331	2D5	2D5
FBgn0070055	FBgn0070055	2L-144-32	2L-144-32
FBgn0070054	FBgn0070054	2L-250-35	2L-250-35
FBgn0070053	FBgn0070053	2L-311-30	2L-311-30
FBgn0070052	FBgn0070052	2L-393-17	2L-393-17
FBgn0260100	FBgn0260100	-	2L0058
FBgn0260103	FBgn0260103	-	2L0372
FBgn0260080	FBgn0260080	-	2L0439
FBgn0260094	FBgn0260094	-	2L1923
FBgn0260098	FBgn0260098	-	2L2218
FBgn0260107	FBgn0260107	-	2L2806
FBgn0260120	FBgn0260120	-	2L2853
FBgn0260108	FBgn0260108	-	2L3047
FBgn0260118	FBgn0260118	-	2L3120
FBgn0260109	FBgn0260109	-	2L3193
FBgn0260095	FBgn0260095	-	2L3244
FBgn0260110	FBgn0260110	-	2L3393
FBgn0260119	FBgn0260119	-	2L4117
FBgn0021755	FBgn0021755	2R-F	2R-F
FBgn0021754	FBgn0021754	2R-L	2R-L
FBgn0260793	FBgn0260793	2mit	2mit
FBgn0027097	FBgn0027097	31B8	31B8
FBgn0070051	FBgn0070051	37	37
FBgn0067329	FBgn0067329	3F43	3F43
FBgn0070050	FBgn0070050	3L-114-20	3L-114-20
FBgn0070049	FBgn0070049	3L-200-14	3L-200-14
FBgn0070048	FBgn0070048	3L-211-27	3L-211-27
FBgn0070047	FBgn0070047	3L-215-13	3L-215-13
FBgn0070046	FBgn0070046	3L-61-3	3L-61-3
FBgn0021753	FBgn0021753	3L-B	3L-B
FBgn0067328	FBgn0067328	3N5	3N5
FBgn0070045	FBgn0070045	3R-168-17	3R-168-17
FBgn0070044	FBgn0070044	3R-196-22	3R-196-22
FBgn0070043	FBgn0070043	3R-259-18	3R-259-18
FBgn0070042	FBgn0070042	3R-31-22	3R-31-22
FBgn0070041	FBgn0070041	3R-35-29	3R-35-29
FBgn0070040	FBgn0070040	3R-40-7	3R-40-7
FBgn0070039	FBgn0070039	3R-64-22	3R-64-22
FBgn0070038	FBgn0070038	3R-64-33	3R-64-33
FBgn0070037	FBgn0070037	3R-66-38	3R-66-38
FBgn0070036	FBgn0070036	3R-69-15	3R-69-15
FBgn0021751	FBgn0021751	3R-C	3R-C
FBgn0069066	FBgn0069066	4B7-11	4B7-11
FBgn0052016	FBgn0052016	eIF4E-Transporter	4E-T
FBgn0004168	FBgn0004168	5-hydroxytryptamine (serotonin) receptor 1A	5-HT1A
FBgn0263116	FBgn0263116	5-hydroxytryptamine (serotonin) receptor 1B	5-HT1B
FBgn0087012	FBgn0087012	5-hydroxytryptamine (serotonin) receptor 2A	5-HT2A
FBgn0261929	FBgn0261929	5-hydroxytryptamine (serotonin) receptor 2B	5-HT2B
FBgn0004573	FBgn0004573	5-hydroxytryptamine (serotonin) receptor 7	5-HT7
FBgn0250731	FBgn0250731	5.8SrRNA:CR40454	5.8SrRNA:CR40454
FBgn0267499	FBgn0267499	5.8S ribosomal RNA:CR45839	5.8SrRNA:CR45839
FBgn0267502	FBgn0267502	5.8S ribosomal RNA:CR45842	5.8SrRNA:CR45842
FBgn0267512	FBgn0267512	5.8S ribosomal RNA:CR45852	5.8SrRNA:CR45852
FBgn0259178	FBgn0259178	Inositol polyphosphate-5-phosphatase type I	5PtaseI
FBgn0000002	FBgn0000002	5S ribosomal RNA	5SrRNA
FBgn0053353	FBgn0053353	5SrRNA:CR33353	5SrRNA:CR33353
FBgn0053354	FBgn0053354	5SrRNA:CR33354	5SrRNA:CR33354
FBgn0053355	FBgn0053355	5SrRNA:CR33355	5SrRNA:CR33355
FBgn0053357	FBgn0053357	5SrRNA:CR33357	5SrRNA:CR33357
FBgn0053358	FBgn0053358	5SrRNA:CR33358	5SrRNA:CR33358
FBgn0053359	FBgn0053359	5SrRNA:CR33359	5SrRNA:CR33359
FBgn0053360	FBgn0053360	5SrRNA:CR33360	5SrRNA:CR33360
FBgn0053361	FBgn0053361	5SrRNA:CR33361	5SrRNA:CR33361
FBgn0053362	FBgn0053362	5SrRNA:CR33362	5SrRNA:CR33362
FBgn0053364	FBgn0053364	5SrRNA:CR33364	5SrRNA:CR33364
FBgn0053365	FBgn0053365	5SrRNA:CR33365	5SrRNA:CR33365
FBgn0053366	FBgn0053366	5SrRNA:CR33366	5SrRNA:CR33366
FBgn0053367	FBgn0053367	5SrRNA:CR33367	5SrRNA:CR33367
FBgn0053368	FBgn0053368	5SrRNA:CR33368	5SrRNA:CR33368
FBgn0053369	FBgn0053369	5SrRNA:CR33369	5SrRNA:CR33369
FBgn0053370	FBgn0053370	5SrRNA:CR33370	5SrRNA:CR33370
FBgn0053372	FBgn0053372	5SrRNA:CR33372	5SrRNA:CR33372
FBgn0053373	FBgn0053373	5SrRNA:CR33373	5SrRNA:CR33373
FBgn0053374	FBgn0053374	5SrRNA:CR33374	5SrRNA:CR33374
FBgn0053375	FBgn0053375	5SrRNA:CR33375	5SrRNA:CR33375
FBgn0053376	FBgn0053376	5SrRNA:CR33376	5SrRNA:CR33376
FBgn0053377	FBgn0053377	5SrRNA:CR33377	5SrRNA:CR33377
FBgn0053378	FBgn0053378	5SrRNA:CR33378	5SrRNA:CR33378
FBgn0053379	FBgn0053379	5SrRNA:CR33379	5SrRNA:CR33379
FBgn0053380	FBgn0053380	5SrRNA:CR33380	5SrRNA:CR33380
FBgn0053381	FBgn0053381	5SrRNA:CR33381	5SrRNA:CR33381
FBgn0053382	FBgn0053382	5SrRNA:CR33382	5SrRNA:CR33382
FBgn0053383	FBgn0053383	5SrRNA:CR33383	5SrRNA:CR33383
FBgn0053384	FBgn0053384	5SrRNA:CR33384	5SrRNA:CR33384
FBgn0053385	FBgn0053385	5SrRNA:CR33385	5SrRNA:CR33385
FBgn0053386	FBgn0053386	5SrRNA:CR33386	5SrRNA:CR33386
FBgn0053387	FBgn0053387	5SrRNA:CR33387	5SrRNA:CR33387
FBgn0053388	FBgn0053388	5SrRNA:CR33388	5SrRNA:CR33388
FBgn0053389	FBgn0053389	5SrRNA:CR33389	5SrRNA:CR33389
FBgn0053390	FBgn0053390	5SrRNA:CR33390	5SrRNA:CR33390
FBgn0053391	FBgn0053391	5SrRNA:CR33391	5SrRNA:CR33391
FBgn0053392	FBgn0053392	5SrRNA:CR33392	5SrRNA:CR33392
FBgn0053393	FBgn0053393	5SrRNA:CR33393	5SrRNA:CR33393
FBgn0053394	FBgn0053394	5SrRNA:CR33394	5SrRNA:CR33394
FBgn0053395	FBgn0053395	5SrRNA:CR33395	5SrRNA:CR33395
FBgn0053396	FBgn0053396	5SrRNA:CR33396	5SrRNA:CR33396
FBgn0053397	FBgn0053397	5SrRNA:CR33397	5SrRNA:CR33397
FBgn0053398	FBgn0053398	5SrRNA:CR33398	5SrRNA:CR33398
FBgn0053399	FBgn0053399	5SrRNA:CR33399	5SrRNA:CR33399
FBgn0053400	FBgn0053400	5SrRNA:CR33400	5SrRNA:CR33400
FBgn0053401	FBgn0053401	5SrRNA:CR33401	5SrRNA:CR33401
FBgn0053402	FBgn0053402	5SrRNA:CR33402	5SrRNA:CR33402
FBgn0053403	FBgn0053403	5SrRNA:CR33403	5SrRNA:CR33403
FBgn0053404	FBgn0053404	5SrRNA:CR33404	5SrRNA:CR33404
FBgn0053405	FBgn0053405	5SrRNA:CR33405	5SrRNA:CR33405
FBgn0053406	FBgn0053406	5SrRNA:CR33406	5SrRNA:CR33406
FBgn0053407	FBgn0053407	5SrRNA:CR33407	5SrRNA:CR33407
FBgn0053408	FBgn0053408	5SrRNA:CR33408	5SrRNA:CR33408
FBgn0053409	FBgn0053409	5SrRNA:CR33409	5SrRNA:CR33409
FBgn0053410	FBgn0053410	5SrRNA:CR33410	5SrRNA:CR33410
FBgn0053411	FBgn0053411	5SrRNA:CR33411	5SrRNA:CR33411
FBgn0053412	FBgn0053412	5SrRNA:CR33412	5SrRNA:CR33412
FBgn0053413	FBgn0053413	5SrRNA:CR33413	5SrRNA:CR33413
FBgn0053414	FBgn0053414	5SrRNA:CR33414	5SrRNA:CR33414
FBgn0053415	FBgn0053415	5SrRNA:CR33415	5SrRNA:CR33415
FBgn0053417	FBgn0053417	5SrRNA:CR33417	5SrRNA:CR33417
FBgn0053418	FBgn0053418	5SrRNA:CR33418	5SrRNA:CR33418
FBgn0053419	FBgn0053419	5SrRNA:CR33419	5SrRNA:CR33419
FBgn0053420	FBgn0053420	5SrRNA:CR33420	5SrRNA:CR33420
FBgn0053421	FBgn0053421	5SrRNA:CR33421	5SrRNA:CR33421
FBgn0053422	FBgn0053422	5SrRNA:CR33422	5SrRNA:CR33422
FBgn0053423	FBgn0053423	5SrRNA:CR33423	5SrRNA:CR33423
FBgn0053424	FBgn0053424	5SrRNA:CR33424	5SrRNA:CR33424
FBgn0053425	FBgn0053425	5SrRNA:CR33425	5SrRNA:CR33425
FBgn0053426	FBgn0053426	5SrRNA:CR33426	5SrRNA:CR33426
FBgn0053427	FBgn0053427	5SrRNA:CR33427	5SrRNA:CR33427
FBgn0053428	FBgn0053428	5SrRNA:CR33428	5SrRNA:CR33428
FBgn0053429	FBgn0053429	5SrRNA:CR33429	5SrRNA:CR33429
FBgn0053430	FBgn0053430	5SrRNA:CR33430	5SrRNA:CR33430
FBgn0053431	FBgn0053431	5SrRNA:CR33431	5SrRNA:CR33431
FBgn0053432	FBgn0053432	5SrRNA:CR33432	5SrRNA:CR33432
FBgn0053433	FBgn0053433	5SrRNA:CR33433	5SrRNA:CR33433
FBgn0053434	FBgn0053434	5SrRNA:CR33434	5SrRNA:CR33434
FBgn0053435	FBgn0053435	5SrRNA:CR33435	5SrRNA:CR33435
