Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type
P01915		No associated gene			
P06344		No associated gene			
P03976		No associated gene			
P04944		No associated gene			
Q6P8Q0		No associated gene			
P01734		No associated gene			
P18526		No associated gene			
P01810		No associated gene			
P01823		No associated gene			
P01676		No associated gene			
P01671		No associated gene			
P03980		No associated gene			
P01655		No associated gene			
P01804		No associated gene			
P01664		No associated gene			
P01787		No associated gene			
P04940		No associated gene			
P01807		No associated gene			
P01667		No associated gene			
P01645		No associated gene			
P01881		No associated gene			
A0A286YDM5		No associated gene			
P01629		No associated gene			
P01674		No associated gene			
P01820		No associated gene			
P06329		No associated gene			
P01746		No associated gene			
P01668		No associated gene			
P01644		No associated gene			
P01634		No associated gene			
P01800		No associated gene			
P20040		No associated gene			
P01790		No associated gene			
P01793		No associated gene			
P01657		No associated gene			
P01678		No associated gene			
P01745		No associated gene			
P01878		No associated gene			
P01666		No associated gene			
P01788		No associated gene			
P01796		No associated gene			
P18527		No associated gene			
P01660		No associated gene			
P01648		No associated gene			
P01647		No associated gene			
P03977		No associated gene			
P01791		No associated gene			
MGI:3642276		No associated gene			
P01797		No associated gene			
P01747		No associated gene			
P01725		No associated gene			
P18529		No associated gene			
P01663		No associated gene			
P03987		No associated gene			
P01662		No associated gene			
P01864		No associated gene			
P01750		No associated gene			
P01654		No associated gene			
P01670		No associated gene			
P01636		No associated gene			
P01756		No associated gene			
P01669		No associated gene			
P04213		No associated gene			
P84751		No associated gene			
P01811		No associated gene			
P01798		No associated gene			
P01794		No associated gene			
P01819		No associated gene			
A0A668KM38		No associated gene			
P01739		No associated gene			
P01726		No associated gene			
P01735		No associated gene			
P01741		No associated gene			
P01723		No associated gene			
P01789		No associated gene			
P01809		No associated gene			
P01822		No associated gene			
P01795		No associated gene			
P01675		No associated gene			
P01727		No associated gene			
P01736		No associated gene			
P01672		No associated gene			
P06320		No associated gene			
P01724		No associated gene			
P06334		No associated gene			
P01661		No associated gene			
P01843		No associated gene			
Q3ZRW6		No associated gene			
P04941		No associated gene			
P18532		No associated gene			
