Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type
0610010K14Rik	current symbol	MGI:1915609	0610010K14Rik	RIKEN cDNA 0610010K14 gene	protein coding gene
1110032F04Rik	current symbol	MGI:1915975	1110032F04Rik	RIKEN cDNA 1110032F04 gene	protein coding gene
1600012H06Rik	current symbol	MGI:1915162	1600012H06Rik	RIKEN cDNA 1600012H06 gene	protein coding gene
1600014C10Rik	current symbol	MGI:1919494	1600014C10Rik	RIKEN cDNA 1600014C10 gene	protein coding gene
1700012B09Rik	current symbol	MGI:1916575	1700012B09Rik	RIKEN cDNA 1700012B09 gene	protein coding gene
1700017B05Rik	current symbol	MGI:1921461	1700017B05Rik	RIKEN cDNA 1700017B05 gene	protein coding gene
1700019D03Rik	current symbol	MGI:1914330	1700019D03Rik	RIKEN cDNA 1700019D03 gene	protein coding gene
1700028K03Rik	current symbol	MGI:1923671	1700028K03Rik	RIKEN cDNA 1700028K03 gene	protein coding gene
1700030J22Rik	current symbol	MGI:1916778	1700030J22Rik	RIKEN cDNA 1700030J22 gene	protein coding gene
1700066M21Rik	current symbol	MGI:1920717	1700066M21Rik	RIKEN cDNA 1700066M21 gene	protein coding gene
1700093K21Rik	current symbol	MGI:1914608	1700093K21Rik	RIKEN cDNA 1700093K21 gene	protein coding gene
1700102P08Rik	current symbol	MGI:2148248	1700102P08Rik	RIKEN cDNA 1700102P08 gene	protein coding gene
1700123O20Rik	current symbol	MGI:1920893	1700123O20Rik	RIKEN cDNA 1700123O20 gene	protein coding gene
1810055G02Rik	current symbol	MGI:1919306	1810055G02Rik	RIKEN cDNA 1810055G02 gene	protein coding gene
2200002D01Rik	current symbol	MGI:1919525	2200002D01Rik	RIKEN cDNA 2200002D01 gene	protein coding gene
2210016L21Rik	current symbol	MGI:1919607	2210016L21Rik	RIKEN cDNA 2210016L21 gene	protein coding gene
2300002M23Rik	current symbol	MGI:1916792	2300002M23Rik	RIKEN cDNA 2300002M23 gene	protein coding gene
2300009A05Rik	current symbol	MGI:1916728	2300009A05Rik	RIKEN cDNA 2300009A05 gene	protein coding gene
2310022A10Rik	current symbol	MGI:1913617	2310022A10Rik	RIKEN cDNA 2310022A10 gene	protein coding gene
2310022B05Rik	current symbol	MGI:1916801	2310022B05Rik	RIKEN cDNA 2310022B05 gene	protein coding gene
2310057J18Rik	current symbol	MGI:1914969	2310057J18Rik	RIKEN cDNA 2310057J18 gene	protein coding gene
2310057M21Rik	current symbol	MGI:1915527	2310057M21Rik	RIKEN cDNA 2310057M21 gene	protein coding gene
2410004B18Rik	current symbol	MGI:1913671	2410004B18Rik	RIKEN cDNA 2410004B18 gene	protein coding gene
2510002D24Rik	current symbol	MGI:1919557	2510002D24Rik	RIKEN cDNA 2510002D24 gene	protein coding gene
2510039O18Rik	current symbol	MGI:1924284	2510039O18Rik	RIKEN cDNA 2510039O18 gene	protein coding gene
2610528J11Rik	current symbol	MGI:1913701	2610528J11Rik	RIKEN cDNA 2610528J11 gene	protein coding gene
2700049A03Rik	current symbol	MGI:1924217	2700049A03Rik	RIKEN cDNA 2700049A03 gene	protein coding gene
2810004N23Rik	current symbol	MGI:1913773	2810004N23Rik	RIKEN cDNA 2810004N23 gene	protein coding gene
3425401B19Rik	current symbol	MGI:3588196	3425401B19Rik	RIKEN cDNA 3425401B19 gene	protein coding gene
4833439L19Rik	current symbol	MGI:1921162	4833439L19Rik	RIKEN cDNA 4833439L19 gene	protein coding gene
4921509C19Rik	current symbol	MGI:2685851	4921509C19Rik	RIKEN cDNA 4921509C19 gene	protein coding gene
4930447C04Rik	current symbol	MGI:1923051	4930447C04Rik	RIKEN cDNA 4930447C04 gene	protein coding gene
4930451I11Rik	current symbol	MGI:1925368	4930451I11Rik	RIKEN cDNA 4930451I11 gene	protein coding gene
4930453N24Rik	current symbol	MGI:1914859	4930453N24Rik	RIKEN cDNA 4930453N24 gene	protein coding gene
4930486L24Rik	current symbol	MGI:1922258	4930486L24Rik	RIKEN cDNA 4930486L24 gene	protein coding gene
4930503L19Rik	current symbol	MGI:1922045	4930503L19Rik	RIKEN cDNA 4930503L19 gene	protein coding gene
4930522H14Rik	current symbol	MGI:1914896	4930522H14Rik	RIKEN cDNA 4930522H14 gene	protein coding gene
4930550C14Rik	current symbol	MGI:1922561	4930550C14Rik	RIKEN cDNA 4930550C14 gene	protein coding gene
4930568D16Rik	current symbol	MGI:1923109	4930568D16Rik	RIKEN cDNA 4930568D16 gene	protein coding gene
4930579G24Rik	current symbol	MGI:1923189	4930579G24Rik	RIKEN cDNA 4930579G24 gene	protein coding gene
4930590J08Rik	current symbol	MGI:2685917	4930590J08Rik	RIKEN cDNA 4930590J08 gene	protein coding gene
4931406C07Rik	current symbol	MGI:1918234	4931406C07Rik	RIKEN cDNA 4931406C07 gene	protein coding gene
4931414P19Rik	current symbol	MGI:1921609	4931414P19Rik	RIKEN cDNA 4931414P19 gene	protein coding gene
4932414J04Rik	current symbol	MGI:3605619	4932414J04Rik	RIKEN cDNA 4932414J04 gene	lncRNA gene
4932415M13Rik	current symbol	MGI:3608328	4932415M13Rik	RIKEN cDNA 4932415M13 gene	lncRNA gene
4933405O20Rik	current symbol	MGI:2142174	4933405O20Rik	RIKEN cDNA 4933405O20 gene	protein coding gene
4933427D14Rik	current symbol	MGI:1921727	4933427D14Rik	RIKEN cDNA 4933427D14 gene	protein coding gene
4933434E20Rik	current symbol	MGI:1914027	4933434E20Rik	RIKEN cDNA 4933434E20 gene	protein coding gene
5430402E10Rik	current symbol	MGI:1918601	5430402E10Rik	RIKEN cDNA 5430402E10 gene	protein coding gene
