Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
ACE	"ACE1, CD143, DCP1"	ENSG00000159640	"Angiotensin I converting enzyme"	P12821	17	63477061-63498380	"Candidate cardiovascular disease genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"		"Calmodulin-binding, Carboxypeptidase, Hydrolase, Metalloprotease, Protease"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 257.7;testis: 99.0"	"Group enriched"	"Detected in many"	20	"Early spermatids: 373.5;Late spermatids: 1317.0;Proximal enterocytes: 1039.2"	"Cell type enhanced"	"Detected in many"		"endothelial cell: 5.9;medium spiny neuron: 7.4"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"memory B-cell: 1.0"	"Low lineage specificity"	"Detected in single"			"Cancer enhanced"	"Detected in many"		"Neuroblastoma: 17.2"	"Adipose subcutaneous - Adipose progenitor cells, Kidney - Proximal tubular cells, Kidney - Proximal tubular cells, Pituitary gland - Corticotropes, Skin - Fibroblast_1, Testis - Late spermatids, Thyroid gland - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB002426, CAB002921, HPA029298, HPA069790"	Enhanced		Approved	Vesicles	"Secreted to blood"	Enzyme	NA	NA	104000000	130000000	"Cluster 14: Non-specific - Unknown function"	"Cluster 25: Small intestine - Absorption"	"Cluster 33: Neurons - Mixed function"	"Cluster 11: Neuronal - Sensory perception"	"Cluster 22: Proximal enterocytes - Digestion"	4	Vesicles		"CAB002426: AB_442052, CAB002921: , HPA029298: AB_10960255, HPA069790: AB_2686197"	"unprognostic (2.23e-1)"	"unprognostic (1.27e-1)"	"unprognostic (3.07e-2)"	"unprognostic (4.01e-1)"	"unprognostic (4.10e-2)"	"unprognostic (1.37e-1)"	"unprognostic (2.68e-1)"	"unprognostic (4.46e-1)"	"unprognostic (2.64e-2)"	"unprognostic (1.90e-1)"	"validated prognostic favorable (2.65e-5)"	"validated prognostic favorable (2.01e-4)"	"unprognostic (4.85e-2)"	"unprognostic (2.77e-1)"	"unprognostic (2.62e-1)"	"unprognostic (4.24e-2)"	"unprognostic (1.67e-1)"	"unprognostic (9.69e-3)"	"unprognostic (1.32e-1)"	"unprognostic (6.25e-2)"	"unprognostic (1.21e-1)"	"unprognostic (3.02e-2)"	"unprognostic (1.46e-1)"	"unprognostic (3.16e-1)"	"unprognostic (1.32e-1)"	"unprognostic (1.41e-1)"	"unprognostic (2.71e-1)"	"unprognostic (6.94e-2)"	"unprognostic (1.84e-1)"	"unprognostic (1.12e-1)"	"unprognostic (2.92e-2)"
ACP3	"ACP-3, ACPP, PAP, TM-PAP"	ENSG00000014257	"Acid phosphatase 3"	P15309	3	132317369-132368302	"Cancer-related genes, Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Lipid metabolism"	Hydrolase	"Cancer-related genes, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	76	"prostate: 3512.4"	"Cell type enriched"	"Detected in many"	443	"Prostatic glandular cells: 16688.0"	"Cell type enriched"	"Detected in some"	4	"central nervous system macrophage: 55.6"	"Cancer enriched"	"Detected in many"	268	"Prostate Adenocarcinoma (TCGA): 2890.7"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"eosinophil: 139.9"	"Lineage enhanced"	"Detected in many"		"granulocytes: 139.9"	"Cancer enriched"	"Detected in many"	36	"prostate cancer: 250.9"	"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Adrenal gland - Adrenal cortex cells, Breast - Breast glandular cells, Lung - Alveolar cells type 2, Prostate - Prostate glandular cells, Spleen - Neutrophils"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"CAB000071, HPA004335, HPA063916"	Enhanced				"Secreted to blood"	Enzyme	NA	NA	460000	470000	"Cluster 7: Non-specific - Innate immune response"	"Cluster 64: Neuronal - Transcription"	"Cluster 55: Non-specific - Transcription"	"Cluster 60: Prostate cancer - Unknown function"	"Cluster 40: Prostatic glandular cells - Transcription"	2			"CAB000071: , HPA004335: AB_1079684, HPA063916: AB_2685152"	"unprognostic (7.88e-2)"	"unprognostic (1.70e-1)"		"unprognostic (2.87e-1)"	"unprognostic (1.25e-1)"	"unprognostic (1.05e-2)"	"unprognostic (4.42e-2)"	"unprognostic (5.45e-2)"	"unprognostic (1.08e-1)"	"unprognostic (3.36e-1)"		"unprognostic (1.54e-1)"				"unprognostic (7.46e-2)"	"unprognostic (1.13e-1)"	"unprognostic (3.14e-1)"	"unprognostic (4.84e-2)"	"unprognostic (3.99e-2)"	"unprognostic (4.19e-1)"	"unprognostic (8.01e-2)"	"unprognostic (9.41e-2)"	"unprognostic (3.23e-2)"	"unprognostic (1.51e-1)"	"unprognostic (1.26e-3)"	"unprognostic (7.95e-2)"	"unprognostic (2.17e-1)"	"unprognostic (1.16e-1)"	"unprognostic (1.74e-1)"	"unprognostic (2.68e-1)"
ALB		ENSG00000163631	Albumin	P02768	4	73397114-73421482	"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"			"Cancer-related genes, Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	136	"liver: 205952.1"	"Cell type enriched"	"Detected in many"	4	"Hepatocytes: 59612.0"	"Low cell type specificity"	"Detected in many"			"Cancer enriched"	"Detected in many"	407	"Liver Hepatocellular Carcinoma (TCGA): 38403.3"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in many"	24	"liver cancer: 1846.4"	"Kidney - Proximal tubular cells, Liver - Hepatocytes"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"CAB006262, HPA031024, HPA031025"	Enhanced		Approved	"Endoplasmic reticulum,Golgi apparatus"	"Secreted to blood"	Transport	NA	NA	40000000000000			"Cluster 31: Liver - Plasma proteins"	"Cluster 33: Neurons - Mixed function"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 43: Hepatocytes - Metabolism"	24	"Endoplasmic reticulum, Golgi apparatus"		"CAB006262: AB_425297, HPA031024: AB_2673703, HPA031025: AB_2673704"	"unprognostic (6.95e-3)"	"unprognostic (2.77e-1)"	"unprognostic (7.30e-2)"	"unprognostic (6.46e-2)"							"validated prognostic favorable (3.80e-4)"	"validated prognostic favorable (3.74e-4)"	"unprognostic (2.18e-1)"	"unprognostic (1.32e-2)"	"unprognostic (2.17e-3)"	"unprognostic (1.17e-2)"	"unprognostic (7.56e-2)"	"unprognostic (2.47e-1)"	"unprognostic (3.17e-1)"			"unprognostic (4.51e-2)"	"potential prognostic unfavorable (8.71e-4)"	"unprognostic (3.58e-2)"	"unprognostic (2.35e-1)"		"unprognostic (3.31e-1)"	"unprognostic (1.95e-3)"	"unprognostic (5.35e-2)"	"unprognostic (1.69e-3)"	"unprognostic (2.59e-1)"
AMY2A	AMY2	ENSG00000243480	"Amylase alpha 2A"	P04746	1	103617427-103625780	"Enzymes, FDA approved drug targets, Metabolic proteins, Predicted secreted proteins"	"Carbohydrate metabolism"	"Glycosidase, Hydrolase"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	4638	"pancreas: 148982.6"	"Cell type enriched"	"Detected in some"	135	"Exocrine glandular cells: 251.1"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	1678	"Pancreatic Adenocarcinoma (TCGA): 1235.1"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Pancreas - Exocrine glandular cells"									"HPA045394, HPA045399, CAB045960, HPA046980"	Enhanced		Approved	"Golgi apparatus,Cytosol"	"Secreted to digestive system"	Enzyme	NA	NA				"Cluster 15: Pancreas - Proteolysis"	"Cluster 51: Neurons - Mixed function"	"Cluster 24: Non-specific - Unknown function"	"Cluster 60: Pancreatic exocrine cells - Proteolysis"	6	"Golgi apparatus, Cytosol"		"CAB045960: AB_2226891, HPA045394: AB_2679311, HPA045399: AB_2679313, HPA046980: AB_2679889"			"unprognostic (3.64e-1)"																			"unprognostic (1.95e-1)"	"unprognostic (1.01e-1)"								
ANGPT2	Ang2	ENSG00000091879	"Angiopoietin 2"	O15123	8	6499632-6563409	"Cancer-related genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted secreted proteins, RAS pathway related proteins"	"Angiogenesis, Differentiation"	"Developmental protein"	"Cancer-related genes, Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enriched"	"Detected in many"	4	"Lymphatic endothelial cells: 498.2"	"Cell type enhanced"	"Detected in all"		"endothelial cell: 236.5"	"Cancer enhanced"	"Detected in all"		"Kidney Renal Clear Cell Carcinoma (TCGA): 44.7"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"basophil: 1.6"	"Low lineage specificity"	"Detected in single"			"Cancer enhanced"	"Detected in many"		"ovarian cancer: 10.4"	"Breast - Endothelial cells, Colon - Endothelial cells, Heart muscle - Endothelial cells, Liver - Vascular Endothelial cells, Prostate - Endothelial cells, Skeletal muscle - Endothelial cells, Skin - Endothelial cells, Testis - Endothelial cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"CAB011437, CAB017626"	Approved				"Secreted to blood"	"Developmental protein"	NA	NA	3780000	130000	"Cluster 34: B-cells - Unknown function"	"Cluster 34: Non-specific - Mixed function"	"Cluster 49: Hindbrain - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 54: Lymphatic endothelial cells - Lymph vessel development"	5			"CAB011437: , CAB017626: AB_1118956"	"unprognostic (8.64e-2)"	"unprognostic (6.31e-2)"	"unprognostic (3.30e-2)"	"potential prognostic unfavorable (2.43e-4)"	"unprognostic (2.31e-1)"	"unprognostic (2.16e-1)"	"unprognostic (2.02e-1)"	"unprognostic (2.07e-2)"	"unprognostic (1.88e-1)"	"unprognostic (4.94e-3)"	"unprognostic (9.20e-3)"	"unprognostic (1.42e-2)"	"potential prognostic unfavorable (1.27e-4)"	"validated prognostic unfavorable (7.06e-5)"	"validated prognostic unfavorable (4.83e-5)"	"unprognostic (2.51e-2)"	"unprognostic (2.45e-3)"	"unprognostic (3.96e-2)"	"unprognostic (1.68e-1)"	"unprognostic (6.85e-2)"	"unprognostic (2.02e-3)"	"unprognostic (4.40e-3)"	"unprognostic (3.32e-2)"	"unprognostic (1.16e-1)"	"unprognostic (8.78e-2)"	"unprognostic (8.55e-2)"	"unprognostic (2.11e-3)"	"potential prognostic unfavorable (4.53e-4)"	"unprognostic (2.59e-1)"	"unprognostic (8.48e-3)"	"unprognostic (4.03e-2)"
ANGPTL3	ANGPT5	ENSG00000132855	"Angiopoietin like 3"	Q9Y5C1	1	62597520-62606313	"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted secreted proteins"	"Angiogenesis, Cell adhesion, Lipid metabolism"	Heparin-binding	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	13	"liver: 655.3"	"Group enriched"	"Detected in some"	22	"Hepatocytes: 694.2;Proximal tubular cells: 210.2"	"Cell type enhanced"	"Detected in single"		"astrocyte: 1.4"	"Cancer enriched"	"Detected in some"	24	"Liver Hepatocellular Carcinoma (TCGA): 124.8"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	39	"liver cancer: 9.2"	"Kidney - Proximal tubular cells, Liver - Hepatocytes, Liver - Hepatocytes, Stomach - Parietal cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA038097	Approved				"Secreted to blood"	"Cell adhesion"	NA	NA	225000000	88000000		"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 31: Non-specific - Transcription"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 43: Hepatocytes - Metabolism"				"HPA038097: AB_10675628"											"validated prognostic favorable (7.27e-6)"	"validated prognostic favorable (4.89e-5)"	"unprognostic (2.32e-2)"	"unprognostic (6.44e-2)"	"potential prognostic favorable (6.81e-5)"								"unprognostic (8.64e-2)"	"unprognostic (7.02e-2)"							
ANXA1	"ANX1, LPC1"	ENSG00000135046	"Annexin A1"	P04083	9	73151865-73170393	"Cancer-related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, Transporters"	"Adaptive immunity, Immunity, Inflammatory response, Innate immunity"	"Phospholipase A2 inhibitor"	"Cancer-related genes, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"esophagus: 7281.3"	"Cell type enhanced"	"Detected in many"		"granulocytes: 3470.5;Squamous epithelial cells: 3652.5;Suprabasal keratinocytes: 8372.3;Syncytiotrophoblasts: 8404.5"	"Group enriched"	"Detected in many"	13	"endothelial cell: 140.6;ependymal cell: 259.6;fibroblast: 148.8;leukocyte: 226.5;vascular associated smooth muscle cell: 74.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in all"		"basophil: 2824.3"	"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA011271, HPA011272, CAB013023, CAB035987, CAB058693, CAB080415"	Enhanced		Supported	"Nucleoplasm,Plasma membrane,Cytosol"	"Secreted to blood"	Immunity	NA	Yes	17600000	1200000000	"Cluster 42: Non-specific - Vesicular transport"	"Cluster 29: Squamous epithelium - Innate immune response"	"Cluster 39: Astrocytes - Mixed function"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 59: Suprabasal keratinocytes - Cornification"	32	"Plasma membrane, Cytosol"	Nucleoplasm	"CAB013023: AB_2533983, CAB035987: , CAB058693: AB_2665585, CAB080415: , HPA011271: AB_1844883, HPA011272: AB_1844884"	"unprognostic (2.41e-3)"	"unprognostic (9.20e-3)"	"unprognostic (1.75e-1)"	"unprognostic (1.32e-1)"	"unprognostic (1.30e-1)"	"unprognostic (6.39e-2)"	"unprognostic (2.17e-2)"	"unprognostic (5.11e-3)"	"unprognostic (8.49e-2)"	"unprognostic (4.02e-2)"	"unprognostic (2.83e-2)"	"unprognostic (2.00e-1)"	"unprognostic (2.07e-1)"	"unprognostic (2.02e-2)"	"unprognostic (1.28e-1)"	"unprognostic (1.11e-2)"	"unprognostic (3.05e-2)"	"unprognostic (1.69e-1)"	"unprognostic (1.17e-1)"	"unprognostic (4.63e-2)"	"unprognostic (1.64e-1)"	"unprognostic (1.86e-3)"	"unprognostic (3.66e-3)"	"unprognostic (3.30e-1)"	"unprognostic (1.30e-1)"	"unprognostic (4.76e-3)"	"unprognostic (1.51e-1)"	"unprognostic (3.59e-2)"	"unprognostic (4.87e-2)"	"potential prognostic favorable (8.16e-4)"	"unprognostic (2.84e-2)"
ANXA2	"ANX2, ANX2L4, CAL1H, LIP2, LPC2D"	ENSG00000182718	"Annexin A2"	P07355	15	60347134-60402883	"Cancer-related genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, Transporters"	"Host-virus interaction"	RNA-binding	"Cancer-related genes, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"esophagus: 2124.0"	"Cell type enhanced"	"Detected in many"		"Basal respiratory cells: 5295.0;Ductal cells: 3448.7;Pancreatic endocrine cells: 3363.7"	"Cell type enhanced"	"Detected in many"		"ependymal cell: 101.5;fibroblast: 169.0;vascular associated smooth muscle cell: 96.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in all"	4	"basophil: 4446.3;classical monocyte: 2767.4;intermediate monocyte: 2404.9;myeloid DC: 4023.2;non-classical monocyte: 2699.3;T-reg: 1686.0"	"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Pancreas - Ductal cells"	"Low region specificity"	"Detected in all"			"Region enhanced"	"Detected in all"		"spinal cord: 213.0"	"CAB004311, HPA046964, HPA061798"	Enhanced		Approved	"Plasma membrane,Cytosol"	"Secreted to blood"	Other	NA	NA	26700000000	23000000	"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 75: Epithelium - Extracellular exosomes"	"Cluster 12: Non-specific - Vasculature"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 45: Non-specific - Mixed function"	49	"Plasma membrane"	Cytosol	"CAB004311: AB_626677, HPA046964: AB_2732537, HPA061798: AB_2732671"	"unprognostic (3.58e-3)"	"unprognostic (1.72e-2)"	"unprognostic (1.04e-1)"	"unprognostic (1.96e-1)"	"unprognostic (1.53e-1)"	"unprognostic (3.13e-2)"	"unprognostic (1.89e-3)"	"potential prognostic unfavorable (1.89e-4)"	"unprognostic (1.41e-3)"	"unprognostic (1.44e-2)"	"potential prognostic unfavorable (4.91e-4)"	"unprognostic (3.19e-2)"	"unprognostic (5.16e-2)"	"validated prognostic unfavorable (7.78e-4)"	"validated prognostic unfavorable (5.03e-4)"	"potential prognostic unfavorable (1.13e-4)"	"unprognostic (1.89e-2)"	"unprognostic (2.44e-2)"	"unprognostic (2.35e-3)"	"unprognostic (1.67e-2)"	"unprognostic (4.36e-2)"	"potential prognostic unfavorable (1.38e-5)"	"unprognostic (9.67e-3)"	"unprognostic (5.95e-2)"	"unprognostic (2.33e-1)"	"unprognostic (5.63e-2)"	"unprognostic (3.03e-1)"	"unprognostic (1.14e-1)"	"unprognostic (9.57e-2)"	"unprognostic (2.86e-2)"	"unprognostic (8.85e-3)"
APOC3	"Apo-C3, Apo-CIII, ApoC-3, ApoC-III, APOCIII"	ENSG00000110245	"Apolipoprotein C3"	P02656	11	116829706-116833072	"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted secreted proteins"	"Lipid degradation, Lipid metabolism, Lipid transport, Transport"		"Cancer-related genes, Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	25	"liver: 26980.2"	"Cell type enriched"	"Detected in some"	9	"Hepatocytes: 87587.5"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in many"	453	"Liver Hepatocellular Carcinoma (TCGA): 11879.0"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	4	"liver cancer: 40.4"	"Kidney - Proximal tubular cells, Liver - Hepatocytes"	"Low region specificity"	"Detected in some"			"Not detected"	"Not detected"			"HPA065365, HPA073918"	Supported		Approved	"Nucleoplasm,Nucleoli,Cell Junctions"	"Secreted to blood"	Apolipoprotein	NA	NA	106000000000	27000000000		"Cluster 31: Liver - Plasma proteins"		"Cluster 18: Liver cancer - Metabolism"	"Cluster 43: Hepatocytes - Metabolism"	8	Nucleoplasm	"Nucleoli, Cell Junctions"	"HPA065365: AB_2732733, HPA073918: "			"unprognostic (7.06e-1)"								"unprognostic (7.88e-2)"	"unprognostic (2.55e-3)"	"unprognostic (3.22e-1)"	"validated prognostic favorable (3.08e-4)"	"validated prognostic favorable (2.30e-4)"							"unprognostic (1.55e-1)"	"unprognostic (1.11e-1)"		"unprognostic (4.06e-1)"			"unprognostic (2.96e-3)"	"unprognostic (4.05e-2)"		
APP	"AD1, alpha-sAPP"	ENSG00000142192	"Amyloid beta precursor protein"	P05067	21	25880535-26171128	"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters"	"Apoptosis, Cell adhesion, Endocytosis, Notch signaling pathway"	"Heparin-binding, Protease inhibitor, Serine protease inhibitor"	"Alzheimer disease, Amyloidosis, Disease variant, FDA approved drug targets, Neurodegeneration"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Oligodendrocytes: 810.6"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in many"	5	"plasmacytoid DC: 36.4"	"Lineage enriched"	"Detected in many"	5	"dendritic cells: 36.4"	"Low cancer specificity"	"Detected in all"			"Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB000157, HPA001462"	Enhanced		Supported	"Golgi apparatus,Vesicles"	"Secreted to blood"	"Cell adhesion"	NA	NA		96000000	"Cluster 2: Dendritic cells - Unknown function"	"Cluster 34: Non-specific - Mixed function"	"Cluster 27: Non-specific - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 54: Lymphatic endothelial cells - Lymph vessel development"	492	"Golgi apparatus"	Vesicles	"CAB000157: AB_323833, HPA001462: AB_1078185"	"unprognostic (5.14e-2)"	"unprognostic (3.42e-1)"	"unprognostic (2.22e-1)"	"unprognostic (3.69e-3)"	"unprognostic (1.00e-1)"	"unprognostic (1.14e-1)"	"unprognostic (2.60e-1)"	"unprognostic (1.28e-1)"	"unprognostic (4.67e-3)"	"unprognostic (1.03e-1)"	"validated prognostic favorable (8.44e-9)"	"validated prognostic favorable (1.85e-5)"	"unprognostic (1.82e-1)"	"unprognostic (1.43e-1)"	"unprognostic (9.93e-2)"	"unprognostic (8.97e-3)"	"unprognostic (3.91e-2)"	"unprognostic (6.82e-3)"	"unprognostic (9.35e-3)"	"unprognostic (5.29e-2)"	"unprognostic (6.25e-2)"	"unprognostic (1.31e-2)"	"unprognostic (4.34e-2)"	"unprognostic (1.96e-2)"	"unprognostic (2.28e-1)"	"unprognostic (1.40e-1)"	"unprognostic (2.43e-1)"	"unprognostic (3.59e-1)"	"unprognostic (4.49e-1)"	"unprognostic (1.10e-1)"	"unprognostic (2.46e-2)"
