Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
ACKR1	"CCBP1, CD234, DARC, Dfy, FY, GPD"	ENSG00000213088	"Atypical chemokine receptor 1 (Duffy blood group)"	Q16570	1	159203307-159206500	"Blood group antigen proteins, CD markers, G-protein coupled receptors, Predicted membrane proteins, Transporters"		"Blood group antigen, G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"adipose tissue: 310.2"	"Group enriched"	"Detected in many"	10	"Adipocytes: 571.8;Endothelial cells: 840.3"	"Cell type enhanced"	"Detected in many"		"endothelial cell: 48.8"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	4	"Bile duct cancer: 5.8;Brain cancer: 1.7;Leukemia: 1.5;Neuroblastoma: 2.2;skin cancer: 2.2"	"Breast - Endothelial cells, Colon - Endothelial cells, Minor Salivary Gland - Endothelial cells, Pancreas - Endothelial cells, Prostate - Endothelial cells, Skeletal muscle - Endothelial cells, Testis - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA016421, HPA017672"	Enhanced						NA	NA				"Cluster 7: Adipose tissue - Mixed function"	"Cluster 35: Non-specific - DNA binding"	"Cluster 47: Leukemia - Hemostasis"	"Cluster 41: Adipocytes & Endothelial cells - Mixed function"				"HPA016421: AB_1849219, HPA017672: AB_1849221"	"unprognostic (5.81e-2)"	"unprognostic (2.83e-2)"		"potential prognostic favorable (6.37e-5)"	"unprognostic (6.93e-2)"	"unprognostic (6.41e-2)"	"unprognostic (2.62e-2)"	"unprognostic (4.36e-2)"	"unprognostic (6.62e-3)"	"unprognostic (5.11e-2)"	"unprognostic (4.55e-3)"	"potential prognostic favorable (9.58e-4)"	"unprognostic (2.70e-1)"	"potential prognostic favorable (9.81e-5)"		"unprognostic (2.15e-3)"	"unprognostic (1.58e-1)"	"unprognostic (7.69e-2)"	"unprognostic (5.53e-2)"	"unprognostic (7.40e-2)"	"unprognostic (1.43e-1)"	"unprognostic (1.25e-3)"	"unprognostic (9.70e-2)"	"unprognostic (9.11e-2)"	"unprognostic (2.69e-1)"	"unprognostic (5.92e-2)"	"unprognostic (1.31e-1)"	"unprognostic (4.97e-3)"	"unprognostic (1.15e-1)"	"unprognostic (2.04e-2)"	"unprognostic (3.05e-1)"
ACKR2	"CCBP2, CCR10, CCR9, CMKBR9, D6"	ENSG00000144648	"Atypical chemokine receptor 2"	O00590	3	42804752-42887974	"G-protein coupled receptors, Predicted membrane proteins, Transporters"	"Inflammatory response"	"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"liver: 9.1;placenta: 15.4"	"Group enriched"	"Detected in many"	7	"Cytotrophoblasts: 33.3;Extravillous trophoblasts: 117.3;Lymphatic endothelial cells: 37.3;Syncytiotrophoblasts: 78.0"	"Cell type enhanced"	"Detected in many"		"ependymal cell: 7.0"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	6	"eosinophil: 3.8;NK-cell: 1.0"	"Group enriched"	"Detected in many"	7	"granulocytes: 3.8;NK-cells: 1.0"	"Low cancer specificity"	"Detected in some"				"Group enriched"	"Detected in many"	5	"amygdala: 2.2;basal ganglia: 7.9;cerebral cortex: 4.9;hippocampal formation: 2.4"	"Low region specificity"	"Detected in all"			"HPA013819, HPA073493"	Enhanced		Supported	Nucleoplasm,Vesicles,Cytosol			NA	NA			"Cluster 3: Non-specific - Nuclear processes"	"Cluster 11: Liver - Plasma proteins"	"Cluster 6: Non-specific - Immune response"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 4: Extravillous trophoblasts - Unknown function"	51	"Vesicles, Cytosol"	Nucleoplasm	"HPA013819: AB_1846126, HPA073493: AB_2686610"	"unprognostic (2.50e-2)"	"unprognostic (1.17e-2)"		"unprognostic (1.00e-1)"		"unprognostic (1.69e-1)"		"unprognostic (3.10e-1)"	"unprognostic (7.82e-3)"	"unprognostic (7.14e-2)"			"unprognostic (3.29e-1)"	"unprognostic (3.41e-3)"		"unprognostic (1.59e-1)"	"unprognostic (3.37e-2)"	"unprognostic (8.85e-3)"	"unprognostic (3.30e-1)"	"unprognostic (4.97e-2)"	"unprognostic (8.63e-2)"	"unprognostic (6.37e-2)"	"unprognostic (9.77e-2)"	"unprognostic (1.28e-1)"		"unprognostic (2.88e-2)"		"unprognostic (1.66e-2)"			"unprognostic (2.06e-1)"
ACKR3	"CMKOR1, CXCR7, GPR159, RDC1"	ENSG00000144476	"Atypical chemokine receptor 3"	P25106	2	236567787-236582354	"Cancer-related genes, Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins"	"Cell adhesion, Host-virus interaction"	"Developmental protein, G-protein coupled receptor, Receptor, Transducer"	"Cancer-related genes, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Fibroblasts: 167.3;Lymphatic endothelial cells: 152.7;monocytes: 47.5;Smooth muscle cells: 61.3"	"Cell type enhanced"	"Detected in many"		"astrocyte: 66.2;vascular associated smooth muscle cell: 193.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Group enriched"	"Detected in many"	7	"NK-cells: 4.7;T-cells: 3.8"	"Cancer enhanced"	"Detected in many"		"Kidney cancer: 106.8"	"Testis - Sertoli cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA032003, HPA049718"	Approved		Supported	"Vesicles,Plasma membrane"			NA	NA			"Cluster 24: Non-specific - Transcription"	"Cluster 7: Adipose tissue - Mixed function"	"Cluster 39: Astrocytes - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 53: Fibroblasts - ECM organization"	6	"Vesicles, Plasma membrane"		"HPA032003: AB_2674107, HPA049718: AB_2680859"	"unprognostic (1.51e-1)"	"unprognostic (1.62e-3)"		"unprognostic (2.01e-3)"	"unprognostic (2.34e-1)"	"unprognostic (1.30e-2)"	"unprognostic (2.57e-1)"	"unprognostic (1.91e-3)"	"unprognostic (2.56e-1)"	"unprognostic (3.88e-2)"	"unprognostic (3.68e-1)"	"unprognostic (2.00e-2)"	"unprognostic (5.10e-2)"	"unprognostic (1.83e-3)"		"unprognostic (2.98e-2)"	"unprognostic (5.82e-3)"	"unprognostic (1.60e-1)"	"unprognostic (3.56e-2)"	"unprognostic (6.38e-2)"	"unprognostic (1.57e-1)"	"unprognostic (1.48e-3)"	"unprognostic (6.04e-2)"	"unprognostic (3.76e-2)"	"unprognostic (1.21e-1)"	"unprognostic (3.07e-3)"	"unprognostic (6.33e-3)"	"potential prognostic unfavorable (1.37e-4)"	"unprognostic (1.46e-1)"	"unprognostic (1.96e-3)"	"unprognostic (1.57e-1)"
ACKR4	"CCBP2, CCR11, CCRL1, CCX-CKR, PPR1, VSHK1"	ENSG00000129048	"Atypical chemokine receptor 4"	Q9NPB9	3	132597270-132618967	"G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 15.3"	"Cell type enhanced"	"Detected in many"		"Alveolar cells type 1: 17.0;Ciliated cells: 12.9;Exocrine glandular cells: 9.5;Fibroblasts: 17.8;Gastric mucus-secreting cells: 8.3;Proximal enterocytes: 20.0"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"lymphoma: 4.4"	"Thyroid gland - Fibroblasts"	"Group enriched"	"Detected in some"	7	"cerebellum: 4.7;pons and medulla: 1.5"	"Low region specificity"	"Detected in all"			HPA054926			Approved	Vesicles,Mitochondria			NA	NA				"Cluster 45: Intestine - Digestion"	"Cluster 17: Choroid plexus - Cilium"	"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 53: Fibroblasts - ECM organization"		"Vesicles, Mitochondria"		"HPA054926: "	"unprognostic (6.09e-2)"	"unprognostic (3.86e-2)"		"unprognostic (1.31e-2)"	"unprognostic (2.18e-2)"	"unprognostic (9.43e-2)"			"unprognostic (8.49e-3)"	"unprognostic (2.03e-1)"	"unprognostic (4.58e-3)"	"unprognostic (1.45e-1)"	"unprognostic (1.16e-2)"			"unprognostic (1.01e-1)"	"unprognostic (8.76e-2)"	"unprognostic (2.05e-1)"	"unprognostic (2.11e-2)"	"potential prognostic favorable (1.50e-4)"		"potential prognostic unfavorable (2.95e-4)"	"unprognostic (3.34e-2)"			"unprognostic (1.04e-1)"	"unprognostic (1.51e-1)"	"unprognostic (2.08e-1)"			
ADCYAP1R1	"PAC1, PAC1R, PACAPR"	ENSG00000078549	"ADCYAP receptor type I"	P41586	7	31052308-31111474	"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Differentiation, Spermatogenesis"	"Developmental protein, G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	4	"brain: 79.0;fallopian tube: 29.2"	"Group enriched"	"Detected in some"	4	"Astrocytes: 54.2;Inhibitory neurons: 43.7"	"Low cell type specificity"	"Detected in many"			"Cancer enriched"	"Detected in some"	13	"Glioblastoma Multiforme (TCGA): 74.3"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	16	"Neuroblastoma: 36.1"	"Pancreas - Fibroblasts, Pituitary gland - Undifferentiated cells (Pituitary gland)"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA030739, HPA049877"	Enhanced		Enhanced	Vesicles			NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 8: Neurons - Neuronal signaling"	1	Vesicles		"HPA030739: AB_2732461, HPA049877: AB_2680928"			"unprognostic (1.27e-3)"				"unprognostic (4.94e-2)"	"unprognostic (9.11e-2)"												"unprognostic (3.73e-1)"	"unprognostic (1.77e-1)"								"unprognostic (3.11e-1)"	"unprognostic (3.36e-2)"	"unprognostic (3.84e-2)"
ADGRA1	"GPR123, KIAA1828"	ENSG00000197177	"Adhesion G protein-coupled receptor A1"	Q86SQ6	10	133087924-133131675	"G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	7	"brain: 26.9"	"Group enriched"	"Detected in some"	8	"Excitatory neurons: 24.4;Horizontal cells: 23.9;Inhibitory neurons: 23.6;Oligodendrocyte precursor cells: 27.4"	"Low cell type specificity"	"Detected in many"			"Cancer enriched"	"Detected in some"	4	"Glioblastoma Multiforme (TCGA): 8.8"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	4	"Bone cancer: 6.5"	"Adrenal gland - Adrenal medulla cells, Colon - Colon enteroendocrine cells, Lung - Respiratory ciliated cells, Minor Salivary Gland - Minor salivary gland ductal cells, Pancreas - Alpha cells, Pancreas - Beta cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA042773	Approved						NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 38: Sub-cortical - Mixed function"	"Cluster 12: Bone cancer - Neuronal signaling"	"Cluster 69: Neurons - Neuronal signaling"				"HPA042773: AB_10794764"							"unprognostic (2.16e-1)"	"potential prognostic favorable (1.12e-4)"		"unprognostic (9.86e-2)"																					
ADGRA2	"DKFZp434C211, DKFZp434J0911, FLJ14390, GPR124, KIAA1531, TEM5"	ENSG00000020181	"Adhesion G protein-coupled receptor A2"	Q96PE1	8	37784191-37844896	"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins"	"Angiogenesis, Wnt signaling pathway"	"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Adipocytes: 29.4;Endometrial stromal cells: 45.0;Fibroblasts: 39.6;Leydig cells: 52.3;Lymphatic endothelial cells: 58.2;Muller glia cells: 26.3;Peritubular cells: 40.6;Smooth muscle cells: 46.3"	"Cell type enhanced"	"Detected in many"		"fibroblast: 101.6;pericyte: 98.3;vascular associated smooth muscle cell: 139.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Bone cancer: 29.9"	"Adrenal gland - Fibroblasts, Breast - Fibroblasts, Heart muscle - Fibroblasts, Kidney - Fibroblasts, Liver - Hepatic stellate cells, Minor Salivary Gland - Fibroblasts, Pituitary gland - Fibroblasts, Skeletal muscle - Fibroblasts, Skin - Fibroblast_1, Spleen - Fibroblast_1, Thyroid gland - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA008984, HPA012393"	Uncertain		Supported	"Vesicles,Plasma membrane"			NA	NA		180000		"Cluster 62: Connective tissue - ECM organization"	"Cluster 32: Cerebral cortex - Mixed function"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 48: Smooth muscle cells - Signal transduction"	4	"Plasma membrane"	Vesicles	"HPA008984: , HPA012393: AB_1849256"	"unprognostic (1.16e-3)"	"unprognostic (6.20e-2)"		"unprognostic (5.00e-3)"	"unprognostic (2.18e-2)"	"unprognostic (5.00e-2)"	"unprognostic (1.60e-1)"	"unprognostic (6.18e-2)"	"unprognostic (9.96e-2)"	"unprognostic (1.07e-2)"	"unprognostic (3.64e-3)"	"potential prognostic favorable (9.02e-4)"	"potential prognostic unfavorable (2.00e-5)"	"unprognostic (7.04e-2)"		"unprognostic (7.48e-2)"	"unprognostic (7.98e-3)"	"unprognostic (3.06e-2)"	"unprognostic (2.93e-1)"	"unprognostic (1.21e-2)"	"unprognostic (3.07e-2)"	"unprognostic (1.64e-1)"	"unprognostic (1.90e-2)"	"unprognostic (3.39e-2)"	"unprognostic (2.57e-1)"	"unprognostic (1.58e-2)"	"potential prognostic unfavorable (2.34e-4)"	"unprognostic (2.09e-2)"	"unprognostic (1.51e-1)"	"unprognostic (7.14e-2)"	"unprognostic (2.09e-1)"
ADGRA3	"FLJ38547, GPR125, PGR21"	ENSG00000152990	"Adhesion G protein-coupled receptor A3"	Q8IWK6	4	22345071-22516066	"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 56.5"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 210.2;Hepatocytes: 91.3"	"Cell type enhanced"	"Detected in all"		"astrocyte: 471.8;choroid plexus epithelial cell: 445.8;ependymal cell: 333.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Spleen - Endothelial cells, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA008904	Uncertain				"Intracellular and membrane"	Receptor	NA	NA		420000		"Cluster 69: Liver - Oxidoreductase activity"	"Cluster 39: Astrocytes - Mixed function"	"Cluster 33: Sarcoma - Muscle contraction"	"Cluster 47: Astrocytes - Unknown function"	2			"HPA008904: AB_1849258"	"unprognostic (1.17e-2)"	"unprognostic (3.14e-1)"		"unprognostic (2.67e-1)"	"unprognostic (2.99e-3)"	"unprognostic (1.16e-2)"	"unprognostic (1.70e-1)"	"unprognostic (3.53e-2)"	"unprognostic (2.06e-1)"	"unprognostic (1.69e-1)"	"potential prognostic favorable (1.00e-4)"	"unprognostic (2.18e-1)"	"unprognostic (1.82e-2)"	"unprognostic (3.12e-1)"		"unprognostic (6.64e-3)"	"unprognostic (1.34e-2)"	"unprognostic (1.13e-1)"	"unprognostic (7.82e-2)"	"unprognostic (2.05e-1)"	"unprognostic (6.31e-2)"	"unprognostic (5.53e-2)"	"unprognostic (2.08e-1)"	"unprognostic (2.06e-1)"	"unprognostic (5.77e-2)"	"unprognostic (1.01e-1)"	"unprognostic (2.01e-1)"	"unprognostic (8.79e-2)"	"unprognostic (1.68e-1)"	"unprognostic (7.26e-3)"	"unprognostic (1.09e-1)"
ADGRB1	BAI1	ENSG00000181790	"Adhesion G protein-coupled receptor B1"	O14514	8	142449430-142545009	"Cancer-related genes, G-protein coupled receptors, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins"	"Immunity, Innate immunity, Myogenesis, Neurogenesis, Phagocytosis"	"G-protein coupled receptor, Receptor, Transducer"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	7	"brain: 46.9"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 55.7;Bipolar cells: 24.0;Excitatory neurons: 45.9;Horizontal cells: 46.6;Inhibitory neurons: 36.4;Oligodendrocyte precursor cells: 66.5"	"Low cell type specificity"	"Detected in all"			"Cancer enriched"	"Detected in many"	7	"Glioblastoma Multiforme (TCGA): 21.7"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"								"Secreted in brain"	Receptor	NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 70: DU4475 - Unknown function"	"Cluster 76: Oligodendrocyte precursor - Unknown function"	10										"unprognostic (1.21e-1)"	"unprognostic (6.49e-3)"				"unprognostic (1.02e-1)"	"unprognostic (3.47e-1)"			"unprognostic (2.40e-2)"	"unprognostic (8.31e-2)"	"unprognostic (5.96e-2)"		"unprognostic (3.02e-2)"	"unprognostic (1.57e-1)"		"unprognostic (3.44e-2)"				"unprognostic (3.15e-1)"		"unprognostic (2.33e-1)"		
ADGRB2	BAI2	ENSG00000121753	"Adhesion G protein-coupled receptor B2"	O60241	1	31727117-31764893	"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters"		"G-protein coupled receptor, Receptor, Transducer"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	9	"brain: 77.5"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 19.8;Bipolar cells: 12.8;Excitatory neurons: 53.9;Horizontal cells: 27.7;Inhibitory neurons: 13.2;Oligodendrocyte precursor cells: 19.3"	"Low cell type specificity"	"Detected in all"			"Cancer enriched"	"Detected in many"	4	"Glioblastoma Multiforme (TCGA): 40.9"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Stomach - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA069175			Supported	"Plasma membrane"	"Intracellular and membrane"	Receptor	NA	NA		21000		"Cluster 61: Brain - Neuronal signaling"	"Cluster 51: Neurons - Mixed function"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 34: Neurons - Neuronal signaling"	1	"Plasma membrane"		"HPA069175: "	"unprognostic (1.32e-2)"	"unprognostic (1.16e-2)"		"unprognostic (4.45e-2)"		"unprognostic (3.88e-2)"	"unprognostic (1.47e-1)"	"unprognostic (2.18e-1)"	"unprognostic (1.03e-1)"	"unprognostic (3.50e-2)"		"unprognostic (1.07e-3)"	"unprognostic (6.46e-2)"			"unprognostic (1.06e-3)"	"unprognostic (3.96e-2)"	"unprognostic (2.74e-3)"	"unprognostic (5.70e-2)"	"unprognostic (7.03e-2)"	"unprognostic (1.08e-1)"	"unprognostic (7.30e-2)"	"unprognostic (1.48e-1)"	"unprognostic (4.67e-2)"		"unprognostic (1.58e-1)"	"unprognostic (5.70e-2)"	"unprognostic (2.19e-1)"	"unprognostic (1.92e-1)"	"unprognostic (8.13e-3)"	"unprognostic (1.67e-2)"
