Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
CACNA1A	"APCA, CACNL1A4, Cav2.1, EA2, FHM, HPCA, MHP, MHP1, SCA6"	ENSG00000141837	"Calcium voltage-gated channel subunit alpha1 A"	O00555	19	13206442-13633025	"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Calcium transport, Ion transport, Transport"	"Calcium channel, Ion channel, Voltage-gated channel"	"Disease variant, Epilepsy, FDA approved drug targets, Neurodegeneration, Spinocerebellar ataxia"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	35	"brain: 240.4"	"Group enriched"	"Detected in many"	7	"Bipolar cells: 145.9;Enteroendocrine cells: 228.5;Excitatory neurons: 307.8;Horizontal cells: 429.9;Inhibitory neurons: 356.4;Oligodendrocyte precursor cells: 255.2"	"Low cell type specificity"	"Detected in all"			"Cancer enhanced"	"Detected in many"		"Ovary Serous Cystadenocarcinoma (TCGA): 6.5"	"Region enhanced"	"Detected in all"		"cerebellum: 218.2"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Brain cancer: 5.2;lung cancer: 8.4;Rhabdoid: 8.2"	"Pancreas - Alpha cells, Pancreas - Beta cells, Skeletal muscle - Smooth muscle cells, Stomach - Gastric enteroendocrine cells, Thyroid gland - Smooth muscle cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA064258, HPA068138, HPA071902"	Enhanced	Supported	Uncertain	"Endoplasmic reticulum"			NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 2: Neurons - Nucleosome"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 71: Horizontal & Bipolar cells - Neuronal signaling"	41	"Endoplasmic reticulum"		"HPA064258: AB_2685229, HPA068138: , HPA071902: "	"unprognostic (6.25e-2)"		"unprognostic (1.87e-2)"				"unprognostic (8.10e-2)"	"potential prognostic favorable (2.58e-4)"												"unprognostic (1.10e-2)"	"unprognostic (6.23e-2)"	"potential prognostic favorable (8.21e-6)"	"unprognostic (2.93e-2)"				"unprognostic (1.60e-1)"	"unprognostic (2.70e-1)"	"unprognostic (2.50e-1)"		"unprognostic (5.19e-2)"
CACNA1B	"CACNL1A5, CACNN, Cav2.2"	ENSG00000148408	"Calcium voltage-gated channel subunit alpha1 B"	Q00975	9	137877782-138124624	"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted membrane proteins, Voltage-gated ion channels"	"Calcium transport, Ion transport, Transport"	"Calcium channel, Ion channel, Voltage-gated channel"	"Disease variant, Epilepsy, FDA approved drug targets, Intellectual disability"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	4	"brain: 22.1"	"Group enriched"	"Detected in some"	8	"Excitatory neurons: 375.5;Inhibitory neurons: 316.8"	"Low cell type specificity"	"Detected in all"			"Cancer enhanced"	"Detected in some"		"Testicular Germ Cell Tumor (TCGA): 4.5"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Neuroblastoma: 14.3"	"Adrenal gland - Adrenal medulla cells, Colon - Colon enteroendocrine cells, Pancreas - Alpha cells, Pancreas - Beta cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA044347	Uncertain		Approved	"Cytosol,Acrosome,Equatorial segment"			NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 53: Neurons - Mixed function"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 34: Neurons - Neuronal signaling"	3	"Cytosol, Acrosome, Equatorial segment"		"HPA044347: AB_10960837"			"unprognostic (4.29e-2)"					"unprognostic (5.93e-3)"										"unprognostic (1.08e-2)"	"unprognostic (1.83e-2)"	"unprognostic (1.50e-2)"									"unprognostic (1.57e-1)"		
CACNA1C	"CACH2, CACN2, CACNL1A1, Cav1.2, CCHL1A1, LQT8, TS"	ENSG00000151067	"Calcium voltage-gated channel subunit alpha1 C"	Q13936	12	1970772-2697950	"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Calcium transport, Host-virus interaction, Ion transport, Transport"	"Calcium channel, Calmodulin-binding, Ion channel, Voltage-gated channel"	"Autism, Autism spectrum disorder, Brugada syndrome, Disease variant, Epilepsy, FDA approved drug targets, Intellectual disability, Long QT syndrome"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"endometrium 1: 19.5;heart muscle: 20.2;intestine: 28.4"	"Group enriched"	"Detected in many"	4	"Excitatory neurons: 586.4;Inhibitory neurons: 456.6;Oligodendrocyte precursor cells: 182.5"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Brain cancer: 3.9"	"Prostate - Smooth muscle cells, Testis - Early spermatids, Testis - Late spermatids, Thyroid gland - Smooth muscle cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA039796, CAB079031"	Enhanced	Approved	Approved	"Nucleoplasm,Plasma membrane,Primary cilium"			NA	NA				"Cluster 41: Smooth muscle tissue - ECM organization"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 21: Lymphoma - Adaptive immune response"	"Cluster 34: Neurons - Neuronal signaling"	28	"Nucleoplasm, Plasma membrane"	"Primary cilium"	"CAB079031: , HPA039796: AB_10673019"	"unprognostic (3.73e-2)"	"unprognostic (9.56e-2)"	"unprognostic (7.20e-2)"			"unprognostic (8.22e-2)"		"unprognostic (1.22e-3)"			"validated prognostic favorable (1.04e-4)"	"validated prognostic favorable (4.50e-4)"					"unprognostic (3.90e-1)"		"unprognostic (2.10e-2)"			"unprognostic (1.43e-2)"	"unprognostic (2.39e-1)"	"unprognostic (6.39e-2)"		"unprognostic (8.77e-3)"		"unprognostic (2.07e-2)"	"unprognostic (1.10e-1)"		
CACNA1D	"CACH3, CACN4, CACNL1A2, Cav1.3, CCHL1A2"	ENSG00000157388	"Calcium voltage-gated channel subunit alpha1 D"	Q01668	3	53328963-53813733	"Cancer-related genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Calcium transport, Ion transport, Transport"	"Calcium channel, Ion channel, Voltage-gated channel"	"Cancer-related genes, Deafness, Disease variant, Epilepsy, FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Group enriched"	"Detected in many"	5	"Excitatory neurons: 242.8;Horizontal cells: 112.0;Inhibitory neurons: 339.0;Microglial cells: 120.8;Oligodendrocyte precursor cells: 185.4"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	9	"basophil: 3.7"	"Lineage enriched"	"Detected in single"	20	"granulocytes: 3.7"	"Low cancer specificity"	"Detected in many"			"Breast - Breast glandular cells, Skeletal muscle - Fibroblasts, Spleen - Fibroblast_2, Testis - Peritubular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA020215	Uncertain		Approved	"Nuclear membrane"			NA	NA			"Cluster 46: Basophils - Proteolysis"	"Cluster 64: Neuronal - Transcription"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 50: Lymphoma - Unknown function"	"Cluster 69: Neurons - Neuronal signaling"		"Nuclear membrane"		"HPA020215: AB_1845860"	"unprognostic (1.70e-1)"	"unprognostic (1.15e-1)"	"unprognostic (2.50e-2)"		"unprognostic (3.32e-2)"	"unprognostic (8.32e-2)"		"unprognostic (7.08e-3)"		"unprognostic (2.66e-1)"	"potential prognostic favorable (1.69e-8)"	"unprognostic (3.49e-3)"	"unprognostic (1.34e-2)"		"unprognostic (1.57e-1)"	"unprognostic (2.53e-3)"	"unprognostic (6.70e-2)"					"unprognostic (7.68e-2)"	"unprognostic (1.19e-1)"	"unprognostic (2.15e-1)"	"unprognostic (1.06e-2)"	"unprognostic (1.29e-2)"	"unprognostic (2.74e-1)"	"unprognostic (5.70e-2)"			
CACNA1E	"BII, CACH6, CACNL1A6, Cav2.3"	ENSG00000198216	"Calcium voltage-gated channel subunit alpha1 E"	Q15878	1	181317690-181813262	"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Voltage-gated ion channels"	"Calcium transport, Ion transport, Transport"	"Calcium channel, Ion channel, Voltage-gated channel"	"Disease variant, Epilepsy, FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	11	"brain: 16.2"	"Cell type enhanced"	"Detected in some"		"Excitatory neurons: 182.2;Inhibitory neurons: 110.6;Oligodendrocyte precursor cells: 69.3;Oligodendrocytes: 31.8"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"cervical cancer: 2.4;lung cancer: 2.0"	"Colon - Colon enteroendocrine cells, Kidney - Proximal tubular cells, Lung - Neutrophil_2, Spleen - Neutrophils, Testis - Sertoli cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA042515, CAB079032"		Approved	Approved	"Plasma membrane,Actin filaments,Cytosol"			NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 51: Neurons - Mixed function"	"Cluster 32: Non-specific - Cell proliferation"	"Cluster 34: Neurons - Neuronal signaling"		"Plasma membrane"	"Actin filaments, Cytosol"	"CAB079032: , HPA042515: "							"unprognostic (3.10e-1)"	"potential prognostic favorable (5.61e-5)"			"unprognostic (1.36e-2)"	"unprognostic (8.10e-3)"								"unprognostic (8.88e-3)"						"unprognostic (1.22e-1)"		"unprognostic (3.72e-2)"	"unprognostic (3.23e-2)"		
CACNA1F	"AIED, Cav1.4, CORDX3, CSNB2, CSNB2A, CSNBX2, JM8, JMC8, OA2"	ENSG00000102001	"Calcium voltage-gated channel subunit alpha1 F"	O60840	X	49205063-49233371	"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Calcium transport, Ion transport, Sensory transduction, Transport, Vision"	"Calcium channel, Ion channel, Voltage-gated channel"	"Cone-rod dystrophy, Congenital stationary night blindness, Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	63	"retina: 121.4"	"Group enriched"	"Detected in some"	7	"Bipolar cells: 66.4;Cone photoreceptor cells: 73.1;Rod photoreceptor cells: 91.7"	"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"plasmacytoid DC: 1.3"	"Low lineage specificity"	"Detected in single"			"Low cancer specificity"	"Detected in single"				"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA068379	Enhanced						NA	NA			"Cluster 2: Dendritic cells - Unknown function"	"Cluster 76: Retina - Visual perception"	"Cluster 48: Non-specific - Mixed function"	"Cluster 1: Neuronal - Visual perception"	"Cluster 66: Photoreceptor cells - Visual perception"				"HPA068379: AB_2732782"			"unprognostic (3.99e-2)"			"unprognostic (8.06e-2)"						"unprognostic (1.02e-2)"					"unprognostic (3.60e-2)"			"unprognostic (3.59e-1)"						"unprognostic (2.01e-2)"					"unprognostic (1.82e-1)"
CACNA1G	"Cav3.1, NBR13"	ENSG00000006283	"Calcium voltage-gated channel subunit alpha1 G"	O43497	17	50560715-50627474	"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted membrane proteins, Voltage-gated ion channels"	"Calcium transport, Ion transport, Transport"	"Calcium channel, Ion channel, Voltage-gated channel"	"Disease variant, FDA approved drug targets, Neurodegeneration, Spinocerebellar ataxia"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 20.5;cervix: 9.5;retina: 8.4"	"Group enriched"	"Detected in some"	5	"Bipolar cells: 152.8;Horizontal cells: 68.0"	"Cell type enhanced"	"Detected in many"		"midbrain-derived inhibitory: 132.5;thalamic excitatory: 98.5"	"Cancer enhanced"	"Detected in some"		"Glioblastoma Multiforme (TCGA): 3.8;Testicular Germ Cell Tumor (TCGA): 3.8"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Bone cancer: 6.8"	"Lung - Fibroblast_2"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA004714	Uncertain		Approved	"Nucleoplasm,Nuclear bodies,Cytosol,Acrosome,Equatorial segment,Perinuclear theca"			NA	NA				"Cluster 28: Neuronal - Transcription"	"Cluster 38: Sub-cortical - Mixed function"	"Cluster 1: Neuronal - Visual perception"	"Cluster 71: Horizontal & Bipolar cells - Neuronal signaling"		"Nucleoplasm, Acrosome, Equatorial segment, Perinuclear theca"	"Nuclear bodies, Cytosol"	"HPA004714: AB_1078368"			"unprognostic (2.08e-1)"				"unprognostic (2.02e-1)"	"unprognostic (3.20e-2)"																"unprognostic (2.05e-1)"		"unprognostic (5.70e-2)"			"unprognostic (4.51e-2)"		
CACNA1H	Cav3.2	ENSG00000196557	"Calcium voltage-gated channel subunit alpha1 H"	O95180	16	1153106-1221771	"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Calcium transport, Ion transport, Transport"	"Calcium channel, Ion channel, Voltage-gated channel"	"Disease variant, Epilepsy, FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 104.0"	"Cell type enhanced"	"Detected in many"		"Bipolar cells: 19.0;Enteroendocrine cells: 13.1;Horizontal cells: 12.0;Late spermatids: 14.5;Ovarian stromal cells: 17.9;Peritubular cells: 22.7;Smooth muscle cells: 28.7"	"Cell type enhanced"	"Detected in many"		"medium spiny neuron: 36.6;vascular associated smooth muscle cell: 48.0"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Adrenal gland - Adrenal cortex cells, Minor Salivary Gland - Endothelial cells, Prostate - Smooth muscle cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			HPA039125	Approved		Approved	Nucleoplasm,Vesicles			NA	NA				"Cluster 41: Smooth muscle tissue - ECM organization"	"Cluster 33: Neurons - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 48: Smooth muscle cells - Signal transduction"	2	"Nucleoplasm, Vesicles"		"HPA039125: AB_10795578"	"unprognostic (3.35e-3)"	"unprognostic (3.36e-3)"	"unprognostic (2.29e-1)"	"unprognostic (1.84e-2)"	"unprognostic (3.52e-2)"	"unprognostic (1.76e-1)"	"unprognostic (4.50e-3)"	"unprognostic (4.13e-2)"	"unprognostic (8.95e-2)"	"unprognostic (1.14e-1)"	"unprognostic (2.82e-1)"	"unprognostic (1.14e-2)"	"potential prognostic unfavorable (9.56e-5)"	"unprognostic (1.26e-1)"	"unprognostic (8.61e-3)"	"unprognostic (1.08e-1)"	"unprognostic (2.76e-2)"	"unprognostic (1.93e-3)"		"unprognostic (8.97e-2)"	"unprognostic (1.05e-2)"	"potential prognostic favorable (2.72e-5)"	"unprognostic (3.33e-1)"	"unprognostic (1.01e-1)"	"unprognostic (2.61e-1)"	"unprognostic (3.36e-2)"	"unprognostic (1.41e-1)"	"unprognostic (1.64e-2)"	"unprognostic (3.97e-2)"	"unprognostic (1.51e-2)"	"unprognostic (3.90e-1)"
CACNA1I	Cav3.3	ENSG00000100346	"Calcium voltage-gated channel subunit alpha1 I"	Q9P0X4	22	39570753-39689735	"FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Calcium transport, Ion transport, Transport"	"Calcium channel, Ion channel, Voltage-gated channel"	"Disease variant, FDA approved drug targets, Intellectual disability"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 9.9;thyroid gland: 5.1"	"Group enriched"	"Detected in some"	5	"Bipolar cells: 13.5;Excitatory neurons: 16.3;Horizontal cells: 30.2;Inhibitory neurons: 11.7"	"Low cell type specificity"	"Detected in many"			"Cancer enriched"	"Detected in single"	5	"Thyroid Carcinoma (TCGA): 3.2"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Bone cancer: 2.8;Rhabdoid: 1.3"	"Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA066992			Approved	"Plasma membrane,Cell Junctions,Acrosome"			NA	NA				"Cluster 22: Brain - Synaptic signal transduction"	"Cluster 24: Neurons - Mixed function"	"Cluster 12: Bone cancer - Neuronal signaling"	"Cluster 71: Horizontal & Bipolar cells - Neuronal signaling"	2	"Plasma membrane"	"Cell Junctions, Acrosome"	"HPA066992: "			"unprognostic (1.71e-1)"																											"unprognostic (1.64e-2)"	
CACNA1S	"CACNL1A3, Cav1.1, HOKPP, hypoPP, MHS5"	ENSG00000081248	"Calcium voltage-gated channel subunit alpha1 S"	Q13698	1	201039512-201112451	"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Calcium transport, Ion transport, Transport"	"Calcium channel, Calmodulin-binding, Ion channel, Voltage-gated channel"	"Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	85	"skeletal muscle: 245.8;tongue: 185.7"	"Cell type enriched"	"Detected in some"	15	"Skeletal myocytes: 106.4"	"Cell type enhanced"	"Detected in some"		"vascular associated smooth muscle cell: 5.7"	"Cancer enriched"	"Detected in single"	5	"Head and Neck Squamous Cell Carcinoma (TCGA): 1.2"	"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"breast cancer: 1.1"	"Adipose visceral - Smooth muscle cells, Skeletal muscle - Skeletal myocytes, Testis - Late spermatids"	"Region enhanced"	"Detected in single"		"olfactory bulb: 1.8"	"Region enriched"	"Detected in single"	5	"olfactory bulb: 3.8"	"CAB009507, HPA048892, HPA056815"	Enhanced		Approved	"Acrosome,Equatorial segment"			NA	NA				"Cluster 14: Skeletal muscle - Muscle contraction"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 70: DU4475 - Unknown function"	"Cluster 2: Skeletal myocytes - Muscle contraction"	4	"Acrosome, Equatorial segment"		"CAB009507: AB_2069576, HPA048892: AB_2680548, HPA056815: AB_2683242"									"unprognostic (1.22e-2)"																						
